month,section,account,department,amount
2026-01-01,Revenue,Product Revenue,Sales,267800.0
2026-01-01,Revenue,Services Revenue,Sales,88200.0
2026-01-01,COGS,Cloud Hosting,Engineering,66150.0
2026-01-01,COGS,Customer Support Delivery,Support,35700.0
2026-01-01,Operating Expense,Salaries & Wages,G&A,128000.0
2026-01-01,Operating Expense,Marketing Programs,Marketing,37800.0
2026-01-01,Operating Expense,Software Tools,Engineering,18000.0
2026-01-01,Operating Expense,Rent & Office,G&A,15000.0
2026-01-01,Operating Expense,Travel & Meals,Sales,9000.0
2026-01-01,Other Expense,Interest Expense,Finance,5500.0
2026-01-01,Tax,Income Tax Expense,Finance,6284.25
2026-02-01,Revenue,Product Revenue,Sales,258505.0
2026-02-01,Revenue,Services Revenue,Sales,93177.0
2026-02-01,COGS,Cloud Hosting,Engineering,65701.26
2026-02-01,COGS,Customer Support Delivery,Support,36858.55
2026-02-01,Operating Expense,Salaries & Wages,G&A,128000.0
2026-02-01,Operating Expense,Marketing Programs,Marketing,46200.0
2026-02-01,Operating Expense,Software Tools,Engineering,19440.0
2026-02-01,Operating Expense,Rent & Office,G&A,15000.0
2026-02-01,Operating Expense,Travel & Meals,Sales,9600.0
2026-02-01,Other Expense,Interest Expense,Finance,5500.0
2026-02-01,Tax,Income Tax Expense,Finance,7021.73
2026-03-01,Revenue,Product Revenue,Sales,295015.5
2026-03-01,Revenue,Services Revenue,Sales,97356.26
2026-03-01,COGS,Cloud Hosting,Engineering,71127.61
2026-03-01,COGS,Customer Support Delivery,Support,39149.46
2026-03-01,Operating Expense,Salaries & Wages,G&A,133120.0
2026-03-01,Operating Expense,Marketing Programs,Marketing,44200.0
2026-03-01,Operating Expense,Software Tools,Engineering,19440.0
2026-03-01,Operating Expense,Rent & Office,G&A,15000.0
2026-03-01,Operating Expense,Travel & Meals,Sales,15000.0
2026-03-01,Other Expense,Interest Expense,Finance,5500.0
2026-03-01,Tax,Income Tax Expense,Finance,9918.12
2026-04-01,Revenue,Product Revenue,Sales,279991.56
2026-04-01,Revenue,Services Revenue,Sales,95052.16
2026-04-01,COGS,Cloud Hosting,Engineering,70032.01
2026-04-01,COGS,Customer Support Delivery,Support,38532.57
2026-04-01,Operating Expense,Salaries & Wages,G&A,133120.0
2026-04-01,Operating Expense,Marketing Programs,Marketing,47840.0
2026-04-01,Operating Expense,Software Tools,Engineering,19800.0
2026-04-01,Operating Expense,Rent & Office,G&A,15000.0
2026-04-01,Operating Expense,Travel & Meals,Sales,13200.0
2026-04-01,Other Expense,Interest Expense,Finance,5500.0
2026-04-01,Tax,Income Tax Expense,Finance,10054.13
